1785859238.303747 server started (2970769): version 3.4, socket /tmp/tmux-1001/default, protocol 8
1785859238.303791 on Linux 6.8.0-101-generic #101-Ubuntu SMP PREEMPT_DYNAMIC Mon Feb  9 10:15:05 UTC 2026
1785859238.303800 using libevent 2.1.12-stable poll
1785859238.303804 using ncurses 6.4 20240113
1785859238.303898 input_key_build: 0x10e003 (PasteStart) is \033[200~
1785859238.303903 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1785859238.303907 input_key_build: 0x10e195 (F1) is \033OP
1785859238.303910 input_key_build: 0x10e196 (F2) is \033OQ
1785859238.303912 input_key_build: 0x10e197 (F3) is \033OR
1785859238.303915 input_key_build: 0x10e198 (F4) is \033OS
1785859238.303918 input_key_build: 0x10e199 (F5) is \033[15~
1785859238.303921 input_key_build: 0x10e19a (F6) is \033[17~
1785859238.303924 input_key_build: 0x10e19b (F7) is \033[18~
1785859238.303926 input_key_build: 0x10e19c (F8) is \033[19~
1785859238.303929 input_key_build: 0x10e19d (F9) is \033[20~
1785859238.303932 input_key_build: 0x10e19e (F10) is \033[21~
1785859238.303934 input_key_build: 0x10e19f (F11) is \033[23~
1785859238.303937 input_key_build: 0x10e1a0 (F12) is \033[24~
1785859238.303940 input_key_build: 0x10e1a1 (IC) is \033[2~
1785859238.303943 input_key_build: 0x10e1a2 (DC) is \033[3~
1785859238.303946 input_key_build: 0x10e1a3 (Home) is \033[1~
1785859238.303949 input_key_build: 0x10e1a4 (End) is \033[4~
1785859238.303952 input_key_build: 0x10e1a5 (NPage) is \033[6~
1785859238.303955 input_key_build: 0x10e1a6 (PPage) is \033[5~
1785859238.303958 input_key_build: 0x10e1a7 (BTab) is \033[Z
1785859238.303961 input_key_build: 0x10e1a8 (Up) is \033[A
1785859238.303964 input_key_build: 0x10e1a9 (Down) is \033[B
1785859238.303967 input_key_build: 0x10e1aa (Left) is \033[D
1785859238.303973 input_key_build: 0x10e1ab (Right) is \033[C
1785859238.303976 input_key_build: 0x10e1ac (KP/) is /
1785859238.303980 input_key_build: 0x10e1ad (KP*) is *
1785859238.303982 input_key_build: 0x10e1ae (KP-) is -
1785859238.303985 input_key_build: 0x10e1af (KP7) is 7
1785859238.303988 input_key_build: 0x10e1b0 (KP8) is 8
1785859238.303991 input_key_build: 0x10e1b1 (KP9) is 9
1785859238.303994 input_key_build: 0x10e1b2 (KP+) is +
1785859238.303996 input_key_build: 0x10e1b3 (KP4) is 4
1785859238.303999 input_key_build: 0x10e1b4 (KP5) is 5
1785859238.304002 input_key_build: 0x10e1b5 (KP6) is 6
1785859238.304005 input_key_build: 0x10e1b6 (KP1) is 1
1785859238.304008 input_key_build: 0x10e1b7 (KP2) is 2
1785859238.304011 input_key_build: 0x10e1b8 (KP3) is 3
1785859238.304014 input_key_build: 0x10e1b9 (KPEnter) is \n
1785859238.304017 input_key_build: 0x10e1ba (KP0) is 0
1785859238.304020 input_key_build: 0x10e1bb (KP.) is .
1785859238.304023 input_key_build: 0x200000000009 (C-Tab) is \t
1785859238.304026 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1785859238.304029 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1785859238.304032 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1785859238.304035 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1785859238.304038 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1785859238.304044 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1785859238.304048 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1785859238.304050 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1785859238.304053 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1785859238.304056 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1785859238.304059 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1785859238.304521 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1785859238.304540 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1785859238.304544 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1785859238.304703 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1785859238.304734 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1785859238.304737 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1785859238.304740 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1785859238.304743 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1785859238.304790 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1785859238.304794 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1785859238.304797 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1785859238.304800 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1785859238.304803 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1785859238.304806 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1785859238.304808 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1785859238.304811 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1785859238.304814 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1785859238.304817 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1785859238.304820 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1785859238.305031 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1785859238.305037 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1785859238.305041 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1785859238.305044 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1785859238.305047 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1785859238.305050 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1785859238.305053 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1785859238.305056 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1785859238.305075 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1785859238.305084 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1785859238.305087 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1785859238.305090 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1785859238.305093 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1785859238.305096 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1785859238.305100 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1785859238.305103 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1785859238.305106 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1785859238.305109 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1785859238.305112 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1785859238.305115 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1785859238.305118 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1785859238.305121 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1785859238.305130 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1785859238.305133 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1785859238.305136 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1785859238.305139 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1785859238.305143 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1785859238.305145 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1785859238.305148 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1785859238.305151 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1785859238.305155 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1785859238.305158 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1785859238.305161 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1785859238.305164 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1785859238.305167 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1785859238.305170 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
